Ids,CHG,SMILES,True vals,AttentiveFP,GraphConv,GCN,GAT,DAG,Set
CHEMBL268966,0,N1([C@H](CN=C1)CCN)C,-3.6900789371,-3.4974132,-3.6599364,-3.4437482,-3.4662535,-3.3766937,train
CHEMBL12626,0,c1(c2c(oc(=O)c1)ccc(c2)O)C,-1.5839941126,-1.5776776,-1.5823848,-1.5776815,-1.6699264,-1.7263497,train
CHEMBL12746,0,N(C(=O)N)(N=O)CCCl,-1.0108287583,-1.1026033,-0.6647935,-1.2641255,-1.2914605,-1.1147718,train
CHEMBL12267,0,N(C(=O)NCCF)(N=O)CCCl,-1.1905970023,-1.1158813,-0.84468305,-1.3596131,-1.29445,-1.0068283,train
CHEMBL12849,0,c12c(cc(s2)N)[nH]c(=O)[nH]c1=O,-2.2095179872,-2.2498891,-2.2710347,-1.9821767,-2.3805292,-2.1043363,valid
CHEMBL276606,0,c12c([nH]c(=O)[nH]c1=O)c(cs2)N,-1.8746282706,-1.9417095,-2.0479777,-1.8360028,-2.0269847,-1.8052999,valid
CHEMBL13378,0,c1(c(=O)[nH]oc1C)C[C@@H](C(=O)O)N,-2.7575090667,-2.62607,-2.5401301,-2.4901867,-2.426861,-2.7354093,train
CHEMBL13246,0,N#C[C@H](NC(=O)C)Cc1ccccc1,-3.4184119858,-3.3130217,-3.5858552,-3.2645013,-3.190688,-3.293217,train
CHEMBL13086,0,s1ccc2c(c[nH]c12)CCN(C)C,-3.3813337164,-3.207037,-3.3201892,-3.1547887,-3.2083814,-3.1797543,train
CHEMBL13202,0,n12c(nc(c1)C#N)COc1c2cccc1,-2.4287447988,-2.5847197,-2.5958688,-2.540696,-2.26633,-2.5577235,train
CHEMBL13620,0,C1(Oc2c(O1)cccc2)C1=NCCN1,-3.0791787978,-3.10816,-3.160142,-2.9861543,-3.050977,-2.994061,train
CHEMBL266386,0,C1(=Cc2c(CC1)cccc2)C1=NCCN1,-1.9968201919,-2.044916,-1.9237853,-2.0470397,-1.9825783,-2.2453995,train
CHEMBL13845,0,O1[C@@H](C(=N)N)OCc2c1cccc2,-3.1028791984,-2.9650352,-3.2595847,-2.8442733,-2.9955902,-3.0469544,train
CHEMBL14174,0,C1(=NCCN1)/C(=C/c1ccccc1)/C,-2.0671714366,-2.0679758,-1.9972897,-2.1120489,-2.0198133,-2.0920544,train
CHEMBL14422,0,c1(C2=NCCN2)c(ccs1)C,-2.3429756078,-2.3931406,-2.4990292,-2.2772694,-2.4214737,-2.3602974,test
CHEMBL14235,0,C1(=NCCN1)C1CCCCCC1,-3.5528701055,-3.6397698,-3.6272533,-3.5348933,-3.575678,-3.4221745,train
CHEMBL276273,0,C1(NCCN1)c1ccccc1,-2.886508356,-3.0278625,-3.235831,-2.999515,-3.1858668,-2.8182325,valid
CHEMBL14493,0,c12c(=O)n(cnc1[nH]cn2)CCN,-2.3975830303,-2.4494488,-2.5417469,-2.451654,-2.4957464,-2.3693101,train
CHEMBL442329,0,c12c(=O)[nH]nc(c1cccc2N)O,-2.019420084,-1.938778,-1.9280001,-1.8581642,-2.0388882,-1.9013876,train
CHEMBL15221,0,c12c([n-]c3c(c1)cc(cc3)C)n[nH+]c2N,-1.5930861043,-1.6724794,-1.6145738,-1.6323208,-1.6925619,-1.7238995,train
CHEMBL277559,0,c1([C@@H]2N(C[C@H](C2)CF)C)onc(c1)C,-2.9029367652,-2.8935864,-3.0542088,-2.8924367,-2.93978,-2.8057408,train
CHEMBL15189,0,C1(=O)O[C@](CC1=C)(CO)C,-1.7797571737,-1.7062511,-1.6212233,-1.7483761,-1.7990887,-1.7852744,train
CHEMBL14839,0,c1([C@H]2N(C[C@@H](C2)C)C)onc(c1)C,-2.9965083127,-2.9742968,-3.1319718,-2.935189,-3.031522,-2.8376298,train
CHEMBL15698,0,n1cncnc1,-2.0282456425,-1.9701153,-1.8065826,-1.8944892,-1.833519,-2.0397096,train
CHEMBL15719,0,n1ncccc1,-1.9933251148,-1.994315,-2.2366734,-2.14834,-2.0110068,-1.9442729,train
CHEMBL15562,0,c1cncnc1,-2.2369926211,-2.2037706,-2.2636514,-2.2788818,-2.2905858,-2.1517744,train
CHEMBL15797,0,n1ccncc1,-1.9253780392,-1.8726493,-1.8651909,-2.0668604,-1.9288476,-1.9550338,train
CHEMBL15739,0,n1[nH]c2c(c1)cc(cc2)OC,-2.5680792565,-2.7174075,-2.9341476,-2.5838125,-2.6301062,-2.711115,valid
CHEMBL16164,0,c12nc(cnc1cncn2)C,-1.0482908148,-0.98757595,-1.0241925,-0.96176696,-0.9896972,-1.140089,train
CHEMBL277497,0,o1c2c(c3c1cccc3)cccc2,-2.4142073201,-2.3982143,-2.360221,-2.292524,-2.1705523,-2.3803344,train
CHEMBL276311,0,C1(=O)[C@@H](CC[C@H](C1)C)C(C)C,-2.585192967,-2.6714592,-2.675602,-2.5753968,-2.5933008,-2.7227252,train
CHEMBL15799,0,CC1=CC[C@H](C(=C)C)CC1,-3.6960376655,-3.6650681,-3.8174043,-3.500831,-3.720754,-3.5583334,train
CHEMBL16347,0,c1(c(c(c(c(c1C)C)C)C)C)C,-3.6740119808,-3.6834278,-3.4497154,-3.3111072,-3.3231547,-3.4656744,train
CHEMBL277500,0,c1ccccc1,-3.0526730494,-3.0398936,-2.9079416,-2.957515,-3.099816,-3.125019,train
CHEMBL16396,0,C1=CCCCC1,-3.5138864499,-3.4783514,-3.3104396,-3.4640477,-3.537154,-3.369539,train
CHEMBL16028,0,C1=C(C(=CC(=O)C1=O)C)C,0.0377487216,0.023056,-0.08697547,-0.19559768,0.07464413,-0.030010104,train
CHEMBL16435,0,C(=O)(c1ccccc1)OC,-2.0509039255,-1.9193007,-2.0156944,-1.9156997,-1.8682711,-1.9053221,train
CHEMBL276542,0,c1(=O)occ(cc1)Cc1ccccc1,-1.5924413888,-1.7214307,-1.8002039,-1.8434362,-1.8813186,-1.6732491,train
CHEMBL278224,0,c1(oc(=O)ccc1CC)Cl,-1.5231636638,-1.4593955,-1.5093586,-1.5138842,-1.6686323,-1.6866018,train
CHEMBL16638,0,c1(cc(=O)occ1)c1ccccc1,-1.4129074297,-1.5307741,-1.369183,-1.5804362,-1.6401358,-1.6380662,train
CHEMBL277286,0,c1ccc2c(c1)CC(=O)N(C2=O)N,-1.740743154,-1.7094551,-1.5769373,-1.8197393,-1.7423563,-1.8926938,train
CHEMBL279554,0,n1c(cc(c(c1)O)CN)C(C)(C)C,-2.810275594,-2.812849,-2.7983856,-2.7216656,-2.7413719,-2.7959466,train
CHEMBL274930,0,S(=O)(=O)(C=C)OCCCl,-1.6147411785,-1.4965389,-1.6561391,-1.7546695,-1.6104734,-1.684675,train
CHEMBL17174,0,c1([nH]c(=O)[nH]c1CC)C(=O)OC,-2.2672389014,-2.3857455,-2.3036203,-2.210117,-2.334232,-2.512441,train
CHEMBL17001,0,c1(ccc(c(c1)O)O)/C=C/C(=O)OC,-1.7382167751,-1.6709245,-1.7752502,-1.5970186,-1.6800456,-1.6019987,valid
CHEMBL17929,0,[nH]1c(=O)[nH]oc1=O,-2.8821525446,-2.8958335,-2.822032,-2.7485769,-3.4080086,-2.856992,train
CHEMBL441220,0,c1(=O)sc2c([nH]1)cccc2CCN,-2.8782210629,-2.7046068,-2.8624403,-2.6732738,-2.780939,-2.7909253,train
CHEMBL17750,0,[n+]1(cc([C@H]2N(N=O)CCC2)ccc1)[O-],-2.2037029877,-1.8898271,-1.8567816,-1.780244,-1.6594386,-2.0377843,train
CHEMBL17653,0,N1(C(=O)O[C@H](C1)CO)n1cccc1,-2.8006677895,-3.0815537,-3.086937,-2.9814336,-2.8327897,-2.7839277,test
CHEMBL17610,0,N1=N[C@H](NN/C/1=C\CC)CCC,-1.6127762576,-1.6196393,-1.4500173,-1.6975211,-1.7332656,-1.8372315,train
CHEMBL18048,0,N1=N[C@H](NNC1=C)C,-1.4075356935,-1.40463,-1.3378402,-1.5271952,-1.3360779,-1.8266649,train
CHEMBL17878,0,c12c(C[C@@H](c3c1cccc3)C)c[nH]n2,-2.7440834797,-2.7366235,-2.8412902,-2.6472137,-2.7152016,-2.7476778,train
CHEMBL274752,0,C1(=C[C@@H]2CN(C1)CC2)/C=N\OC,-2.3299303308,-2.217947,-2.293352,-2.222973,-2.3148239,-2.2835524,train
CHEMBL280450,0,C1(=CCCN(C1)C)/C=N\OC,-2.3497749656,-2.281282,-2.3951037,-2.3010833,-2.3901997,-2.288989,train
CHEMBL278205,0,C1(=C[C@H]2CN(C1)CC2)/C(=N/OC)/C#N,-1.4334228857,-1.4119217,-1.2697101,-1.4646918,-1.3951263,-1.3090237,train
CHEMBL278715,0,C1(=CC(=O)C(O1)(C)C)c1ccccc1,-1.5408076436,-1.4959501,-1.0850922,-1.4845167,-1.6057742,-1.5645232,train
CHEMBL19155,0,[C@]12(C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)C=O,-2.3382001072,-2.3943808,-2.0098147,-2.467563,-2.4858246,-2.3337455,train
CHEMBL18278,0,O=C[C@H]([C@H](CC)C)C,-2.4387015791,-2.4469068,-2.3584123,-2.5135546,-2.331007,-2.4102216,train
CHEMBL273782,0,O=CC(CC)CC,-2.411261103,-2.3589659,-2.418485,-2.4333923,-2.3011024,-2.4045372,train
CHEMBL18620,0,O=C1CCCC1,-2.5527630226,-2.607966,-2.6088297,-2.5853589,-2.5994794,-2.703401,train
CHEMBL18663,0,N(C(=O)C)(C(=O)C)CCC(=O)C,-2.5418697516,-2.4986522,-2.561403,-2.4282227,-2.4038274,-2.7652955,train
CHEMBL274711,0,O=CC1CCCC1,-2.3665919336,-2.3268223,-2.3117504,-2.378143,-2.30107,-2.3330755,train
CHEMBL19403,0,C1(=C(C(=O)C1=O)N)Nc1cnccc1,-2.0123850977,-1.8769499,-2.156393,-1.5854763,-1.7981315,-1.8001117,train
CHEMBL18735,0,c1([nH]cnc1)[C@H]1[C@@H](NCC1)C,-3.6494881931,-3.740656,-3.886142,-3.6164277,-3.7250936,-3.5950356,train
CHEMBL418734,0,[nH]1c(cnc1)C[C@@H](N)COC,-3.6965298524,-3.7334723,-3.9111927,-3.5944421,-3.6492589,-3.5695028,test
CHEMBL283327,0,s1nc2c(n1)cccc2,-1.1615448991,-1.1966432,-1.0135896,-1.4953746,-1.2702606,-1.5088867,train
CHEMBL283723,0,C1=CCC[C@@H](C[C@@H](N)C)C1,-3.4838484118,-3.5607302,-3.8631465,-3.5567148,-3.4959385,-3.5684047,test
CHEMBL19931,0,n1(oc(=O)c2c1cccc2)C(=O)C,-1.6502333117,-1.6775255,-1.6701306,-1.7533423,-1.5424125,-1.5240448,valid
CHEMBL278826,0,n1c(onc1C)/C=N/O,-1.3593378232,-1.34317,-1.3826848,-1.4150963,-1.4332311,-1.693377,train
CHEMBL19205,0,s1nc(cn1)/C=N/O,-1.5987266873,-1.4356608,-1.5541269,-1.3619163,-1.394305,-1.2833344,test
CHEMBL20122,0,c1(nsnc1C)/C=N/O,-1.6465621311,-1.5471622,-1.65846,-1.459592,-1.382509,-1.7345934,train
CHEMBL19943,0,[nH]1c(N2CCNCC2)cccc1=O,-2.3309504657,-2.537061,-2.4181125,-2.377906,-2.4273717,-2.4010367,train
CHEMBL262700,0,C(=C\C(=O)CC(C)C)\C=C\C(=O)CC,-0.8298038272,-0.73456943,-0.9659002,-1.0460867,-0.8047262,-0.90148133,train
CHEMBL20513,0,[NH+](=C(\NCCC(=O)[O-])/N)/C(=O)C,-2.1907047763,-2.2570214,-2.1613994,-2.2095652,-2.0243337,-2.1332512,train
CHEMBL21110,0,C(=[NH2+])(N[C@@H](CC(=O)[O-])C)N,-3.0011197556,-3.0937338,-3.075363,-3.1239507,-2.917565,-3.0541205,train
CHEMBL283800,0,[O-]C(=O)CN(C)C(=[NH2+])N,-2.6797294715,-2.9850485,-2.736475,-2.9673622,-2.8148854,-2.7695272,valid
CHEMBL278524,0,c1([nH]c(CC(=O)[O-])cc1)C(=[NH2+])N,-1.85582061,-1.88915,-2.1314318,-1.9998242,-1.969846,-2.159413,valid
CHEMBL21056,0,c1(n(CCC(=O)[O-])ccc1)C(=[NH2+])N,-1.990785368,-1.9804558,-2.0592744,-2.0404212,-2.089022,-2.2020082,test
CHEMBL20949,0,C(=[NH2+])(NC[C@@H](C(=O)[O-])O)N,-3.0528624707,-2.9993088,-2.986861,-2.9462125,-2.9094477,-3.1246483,train
CHEMBL21181,0,[P@@](=O)(CCNC(=[NH2+])N)([O-])O,-2.7716537192,-2.8408322,-2.7716126,-2.8359485,-2.956742,-3.0010018,train
CHEMBL21487,0,[nH]1c(=S)[nH]cc1CCNC(=N)N,-3.1520614729,-3.3462288,-3.2785428,-3.093304,-3.1858351,-3.2050967,test
CHEMBL21322,0,N1C=NC/C(=N/OCC)/C1,-3.0632675469,-3.1436982,-3.0910008,-3.0453155,-2.953645,-3.0377512,train
CHEMBL440648,0,[C@]1([C@@H](C1)CP(=O)(O)O)(C(=O)O)N,-2.3368850026,-2.7271147,-2.5133054,-2.8602679,-2.7075348,-2.6631541,train
CHEMBL282715,0,C(=[NH+][C@H](C(=O)[O-])C(C)C)(NN)NN,-2.5443485782,-2.5545337,-2.6107368,-2.613784,-2.602988,-2.4659398,valid
CHEMBL277474,0,c1(=O)n(n(c(c1)C)C)c1ccccc1,-2.6545637822,-2.8663158,-2.6425827,-2.526368,-2.3844202,-2.5515985,train
CHEMBL21528,0,C(=[NH2+])(NNC(C)C)NNCC(=O)[O-],-2.6177148906,-2.725708,-2.636574,-2.7974737,-2.6544797,-2.6255999,train
CHEMBL21301,0,C(=N)(N/N=C/C(=O)OC)N,-1.4773911901,-1.5325963,-1.6524119,-1.6064087,-1.8121648,-1.5825038,train
CHEMBL22063,0,C(=[NH+]\N=C(C)C)(/NNCC(=O)[O-])\N,-2.5531827253,-2.3196058,-2.218359,-2.0157633,-1.5637181,-2.1171567,valid
CHEMBL21276,0,C(=[NH2+])(N(CC(=O)[O-])N)N,-2.7137071528,-2.9016128,-2.698034,-2.8462672,-2.7136705,-2.8053484,train
CHEMBL21834,0,C1(=CCC[C@H](C1)[C@H](OC)C)/C=N/O,-2.4344273147,-2.3510516,-2.2520008,-2.3558514,-2.502475,-2.4191327,train
CHEMBL279667,0,C(=[NH2+])(N/N=C/C(=O)[O-])N,-1.7059899453,-1.9241458,-1.9252926,-2.1292374,-1.8635981,-1.9349838,train
CHEMBL21340,0,C(=[NH+]\N)(/NCC(=O)[O-])\NCCO,-2.6070463496,-2.6798987,-2.3604412,-2.6714182,-2.6689794,-2.6052227,train
CHEMBL21446,0,c1(N/C(=[NH+]/N)/NCC(=O)[O-])cc[nH]n1,-2.4034652238,-2.537413,-2.4970806,-2.5553126,-2.441711,-2.4313917,train
CHEMBL21325,0,C1(=CC=CCC1)/C=N/O,-1.8851701908,-1.8264841,-2.093332,-1.8364596,-1.9795842,-1.9065652,test
CHEMBL21951,0,C(=N)(C(=[NH2+])N)NCC(=O)[O-],-1.26901854,-1.421389,-1.4885963,-1.4146804,-1.4619792,-1.2518365,train
CHEMBL21923,0,C(=[NH+]CC(=O)[O-])(NN)NN,-2.5736070682,-2.4717069,-2.5282555,-2.5036583,-2.3906658,-2.5808907,train
CHEMBL21696,0,n1(c(nnc1)N)NCC(=O)O,-2.5745297422,-3.1786153,-2.9589555,-2.9470246,-3.047694,-2.9677105,test
CHEMBL278554,0,c1([nH]nc([nH][nH+]1)C)NCC(=O)[O-],-2.1293632545,-2.1413112,-2.2983558,-2.1722226,-1.9439662,-2.1110837,train
CHEMBL21672,0,N1[C@@H](c2c(C1)cccc2)c1ccccc1,-3.1194844788,-3.109743,-3.2042792,-2.9647048,-3.0355651,-2.930932,train
CHEMBL22072,0,c1(n[nH]c(=O)[nH][nH]1)NCC(=O)O,-2.8058662445,-2.7751951,-2.8421013,-2.8388321,-2.6710505,-2.949782,train
CHEMBL279043,0,C(=[NH2+])(N(/N=C/C(=O)[O-])C)N,-1.9920633237,-1.9767741,-1.9752485,-2.0297463,-1.820076,-1.9858446,train
CHEMBL277444,0,C1(=[NH+]NCCN1N)NCC(=O)[O-],-2.4195659528,-2.552885,-2.5704162,-2.553055,-2.414016,-2.5337415,train
CHEMBL21896,0,C(=[NH+][C@H](C(=O)[O-])C)(NN)NN,-2.4990116519,-2.5912547,-2.4496105,-2.5763714,-2.603667,-2.3883636,train
CHEMBL21695,0,n1c([nH]ncc1=O)N,-1.7649224092,-1.8818654,-2.184699,-1.9886616,-1.8491607,-1.9155104,train
CHEMBL283551,0,C1(=C[C@H]2C=C[C@@H]1CC2)/C=N/O,-2.3353025121,-2.2372665,-2.2983797,-2.267534,-2.3298664,-2.2919536,test
CHEMBL21619,0,n1c(cccc1)N,-2.7230926666,-2.8050075,-2.9373326,-2.6550152,-2.8280354,-2.6645136,train
CHEMBL22720,0,[nH]1c(=O)c(=O)[nH]c2c1cc(c(c2)C)C,-1.6021528655,-1.6213133,-1.7410738,-1.4667863,-1.7976549,-1.475685,train
CHEMBL22976,0,n1c(cccc1C)C,-2.6061952242,-2.7295895,-2.7093923,-2.6858325,-2.7280946,-2.6496782,train
CHEMBL25541,0,n1cc(ccc1)N,-2.6295127796,-2.681721,-2.8557882,-2.6766157,-2.6962423,-2.7108793,train
CHEMBL276980,0,c12oc(=O)[nH]c1ccc1c2nccc1,-1.9105466708,-1.9966279,-1.9118735,-1.8784589,-1.8522649,-2.0425892,train
CHEMBL671,0,S=P(N1CC1)(N1CC1)N1CC1,-2.9894281136,-2.659093,-2.2781844,-2.976724,-3.0064628,-2.6472838,test
CHEMBL22567,0,c12c(=O)[nH]c(nc1CC[C@@H](C2)CO)N,-2.6455713257,-2.556352,-2.6825984,-2.4808717,-2.5813293,-2.5447958,test
CHEMBL23901,0,n1(nncc1C)[C@H]1CN2CC[C@@H]1CC2,-3.0860044012,-2.9995227,-3.033606,-2.961971,-3.1343644,-2.9773455,train
CHEMBL282046,1,[N+]1(=c2n(C(=O)CC1=O)ccs2)CC,-0.8510792996,-0.7564168,-0.8670162,-0.80259633,-0.70049393,-0.9005646,train
CHEMBL279677,0,n12c(=NC(=O)[C@@H](C1=O)CC)scc2,-1.4900876568,-1.8455688,-1.701054,-1.801964,-1.5461371,-1.8967371,valid
CHEMBL23242,0,n12c(=NC(=O)[C@H](C1=O)CC)nccc2,-0.840720031,-0.6343407,-0.8663696,-0.9250211,-0.7065037,-1.0898015,train
CHEMBL25988,0,C(=S)(N/N=C/c1ncccc1)N,-1.6744819542,-1.67513,-1.7686374,-1.7990136,-1.7373066,-1.8741862,train
CHEMBL25880,0,c1(c2c(nc(n1)N)nc[nH]2)[S@@](=O)N,-1.5746682793,-1.5400851,-1.6672065,-1.6223441,-1.6456513,-1.7088567,train
CHEMBL278338,1,[N+]1(=c2n(C(=O)[C@H](C1=O)C)ncn2C)C,-1.1584738304,-0.82304275,-1.0779085,-1.1711582,-0.9683852,-1.0472052,train
CHEMBL284348,0,n1ccc(cc1)N,-3.0621613471,-2.8268313,-2.950046,-2.9028058,-2.858751,-2.8632035,train
CHEMBL24479,0,n1ccc(NCCO)cc1,-2.9791397789,-2.7751265,-2.8724902,-2.8868086,-2.8768213,-2.801199,train
CHEMBL284127,0,C1(=O)[C@H](C(=O)C=C(O1)C)C(=O)C,-1.4604262218,-1.5549093,-1.3445833,-1.5899614,-1.1923535,-1.3224787,train
CHEMBL26064,0,c1(nc(c[nH]1)CCN)c1sccc1,-2.3717695847,-2.53264,-2.67973,-2.6127675,-2.56246,-2.532719,train
CHEMBL26218,0,n1(c(=O)n(sc1=O)C)CC,-1.317469257,-1.1455091,-1.3390707,-1.4794754,-1.3291297,-1.8054395,train
